id,title,rating,tags,price,description,image_url,vendor,link
7.25E+12,8 Customized Polaroids,4.5,"Vintage, Memories, Photography, Decor",249,Set of 8 high-quality retro-style Polaroid prints of your favorite digital photos.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/P1.jpg?v=1764325675,Meevyy,https://meevyy.com/products/8-customized-polaroids
7.83E+12,A24 Movie Chocolate Set ,4.8,"Food, Cinema, Luxury, Entertainment",33,Concession stand flavored chocolate bars.,https://picsum.photos/seed/Entertainment4/400/400,A24 Films,https://www.a24films.com/search?q=A24+Movie+Chocolate+Set+#5
7.93E+12,A24 Movie Chocolate Set ,4.8,"Food, Cinema, Luxury, Entertainment",98,Concession stand flavored chocolate bars.,https://picsum.photos/seed/Entertainment49/400/400,A24 Films,https://www.a24films.com/search?q=A24+Movie+Chocolate+Set+#50
1.05E+13,Abstract Sculpture Model 1034,4.3,"Decor, Kids, Adults (20-50)",430,Premium quality Abstract Sculpture ideal for Kids and suitable for Adults (20-50).,https://picsum.photos/seed/optgift934/400/400,Myntra,https://www.myntra.com/abstract-sculpture-model-1034-8349
1.05E+13,Abstract Sculpture Model 1061,4.9,"Decor, Parents, Kids (0-12)",285,Premium quality Abstract Sculpture ideal for Parents and suitable for Kids (0-12).,https://picsum.photos/seed/optgift961/400/400,Myntra,https://www.myntra.com/abstract-sculpture-model-1061-3242
8.30E+12,Abstract Sculpture Model 107,4.5,"Decor, Colleagues, Teens (13-19)",475,Premium quality Abstract Sculpture ideal for Colleagues and suitable for Teens (13-19).,https://picsum.photos/seed/optgift7/400/400,Walmart,https://www.walmart.com/ip/abstract-sculpture-model-107-1592
8.40E+12,Abstract Sculpture Model 152,4.1,"Decor, Kids, Adults (20-50)",426,Premium quality Abstract Sculpture ideal for Kids and suitable for Adults (20-50).,https://picsum.photos/seed/optgift52/400/400,Walmart,https://www.walmart.com/ip/abstract-sculpture-model-152-4155
9.80E+12,Abstract Sculpture Model 755,4.4,"Decor, Kids, Kids (0-12)",363,Premium quality Abstract Sculpture ideal for Kids and suitable for Kids (0-12).,https://picsum.photos/seed/optgift655/400/400,Apple,https://www.apple.com/shop/abstract-sculpture-model-755-9733
1.04E+13,Abstract Sculpture Model 998,4,"Decor, Friends, Teens (13-19)",100,Premium quality Abstract Sculpture ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift898/400/400,IKEA,https://www.ikea.com/us/en/p/abstract-sculpture-model-998-8298
8.06E+12,Acrylic Spotify Plaque ,4.9,"Music, Custom, Modern, Decor",15,Personalized song plaque with photo.,https://picsum.photos/seed/Decor4/400/400,Etsy,https://www.etsy.com/search?q=Acrylic+Spotify+Plaque+#5
7.36E+12,Acupressure Mat ,4.7,"Recovery, Wellness, Relaxation, Personal Care",35,Promotes blood flow and muscle recovery.,https://picsum.photos/seed/PersonalCare2/400/400,Amazon,https://www.amazon.com/search?q=Acupressure+Mat+#3
8.17E+12,Adjustable Dumbbells ,4.6,"Gym, Strength, Home, Sports",399,Space-saving weight set for home.,https://picsum.photos/seed/Sports2/400/400,Amazon,https://www.amazon.com/search?q=Adjustable+Dumbbells+#3
7.25E+12,Age Birthday Gift Hamper for Her😍,4.7,"Birthday, Custom, Skincare, Hamper",1999,A themed celebration box tailored for her specific age featuring treats and beauty essentials.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/G1.jpg?v=1764325814,Meevyy,https://meevyy.com/products/age-birthday-gift-hamper-for-her😍
1.04E+13,AI Recorder Model 1021,4.2,"Gadgets, Colleagues, Kids (0-12)",399,Premium quality AI Recorder ideal for Colleagues and suitable for Kids (0-12).,https://picsum.photos/seed/optgift921/400/400,Wayfair,https://www.wayfair.com/ai-recorder-model-1021-3389
9.75E+12,AI Recorder Model 733,4.3,"Gadgets, Parents, Adults (20-50)",249,Premium quality AI Recorder ideal for Parents and suitable for Adults (20-50).,https://picsum.photos/seed/optgift633/400/400,Snapdeal,https://www.snapdeal.com/product/ai-recorder-model-733-9411
9.79E+12,AI Recorder Model 751,4.1,"Gadgets, Kids, Teens (13-19)",208,Premium quality AI Recorder ideal for Kids and suitable for Teens (13-19).,https://picsum.photos/seed/optgift651/400/400,Amazon,https://www.amazon.com/dp/ai-recorder-model-751-6591
7.59E+12,AirTag 4-Pack ,4.9,"Tracking, Security, Apple, Gadgets",99,"Keep track of keys, wallets, and bags.",https://picsum.photos/seed/Gadgets3/400/400,Apple,https://www.apple.com/search?q=AirTag+4-Pack+#4
7.24E+12,✨ 365 Reasons of Love – Message Jar Gift,4.9,"Romance, DIY, Anniversary, Sentimental",999,A glass jar containing 365 daily reasons why you love your partner.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/1_a5ecead5-1cab-4d60-8e44-ebb2d1767191.png?v=1763207073,Meevyy,https://meevyy.com/products/✨-365-reasons-of-love-message-jar-gift
7.70E+12,Atomic Habits ,4.8,"Self-Help, Growth, Non-fiction, Books",15,Small changes for remarkable results.,https://picsum.photos/seed/Books0/400/400,Amazon,https://www.amazon.com/search?q=Atomic+Habits+#1
1.05E+13,Basketball Model 1062,4.5,"Sports, Friends, Teens (13-19)",100,Premium quality Basketball ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift962/400/400,Apple,https://www.apple.com/shop/basketball-model-1062-3409
1.06E+13,Basketball Model 1080,4.4,"Sports, Kids, Kids (0-12)",86,Premium quality Basketball ideal for Kids and suitable for Kids (0-12).,https://picsum.photos/seed/optgift980/400/400,IKEA,https://www.ikea.com/us/en/p/basketball-model-1080-1046
8.17E+12,Basketball NBA Street ,4.7,"Outdoor, Ball, Kids, Sports",20,Durable rubber for outdoor play.,https://picsum.photos/seed/Sports4/400/400,Walmart,https://www.walmart.com/search?q=Basketball+NBA+Street+#5
8.19E+12,Basketball NBA Street ,4.7,"Outdoor, Ball, Kids, Sports",32,Durable rubber for outdoor play.,https://picsum.photos/seed/Sports9/400/400,Walmart,https://www.walmart.com/search?q=Basketball+NBA+Street+#10
8.28E+12,Bath Bombs Model 101,4,"Personal Care, Parents, Adults (20-50)",207,Premium quality Bath Bombs ideal for Parents and suitable for Adults (20-50).,https://picsum.photos/seed/optgift1/400/400,Ajio,https://www.ajio.com/bath-bombs-model-101-5213
1.04E+13,Bestseller Novel Model 1022,4.7,"Books, Parents, Adults (20-50)",332,Premium quality Bestseller Novel ideal for Parents and suitable for Adults (20-50).,https://picsum.photos/seed/optgift922/400/400,eBay,https://www.ebay.com/itm/bestseller-novel-model-1022-6793
7.25E+12,Birthday Hamper For Girls(Trendy),4.6,"Youth, Trendy, Beauty, Fashion",1899,A collection of the latest aesthetic accessories and beauty items for girls.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/998i_1.jpg?v=1764326106,Meevyy,https://meevyy.com/products/birthday-hamper-for-girlstrendy
1.05E+13,Bluetooth Speaker Model 1047,4.9,"Electronics, Siblings, Seniors (50+)",231,Premium quality Bluetooth Speaker ideal for Siblings and suitable for Seniors (50+).,https://picsum.photos/seed/optgift947/400/400,Amazon,https://www.amazon.com/dp/bluetooth-speaker-model-1047-1002
8.43E+12,Bluetooth Speaker Model 165,4.5,"Electronics, Spouse, Teens (13-19)",441,Premium quality Bluetooth Speaker ideal for Spouse and suitable for Teens (13-19).,https://picsum.photos/seed/optgift65/400/400,Apple,https://www.apple.com/shop/bluetooth-speaker-model-165-1941
8.47E+12,Bluetooth Speaker Model 183,4.3,"Electronics, Colleagues, Adults (20-50)",27,Premium quality Bluetooth Speaker ideal for Colleagues and suitable for Adults (20-50).,https://picsum.photos/seed/optgift83/400/400,IKEA,https://www.ikea.com/us/en/p/bluetooth-speaker-model-183-7426
8.36E+12,Board Game Model 132,4.4,"Entertainment, Colleagues, Teens (13-19)",107,Premium quality Board Game ideal for Colleagues and suitable for Teens (13-19).,https://picsum.photos/seed/optgift32/400/400,eBay,https://www.ebay.com/itm/board-game-model-132-6897
8.63E+12,Board Game Model 249,4.6,"Entertainment, Parents, Kids (0-12)",266,Premium quality Board Game ideal for Parents and suitable for Kids (0-12).,https://picsum.photos/seed/optgift149/400/400,Best Buy,https://www.bestbuy.com/site/board-game-model-249-6753
8.67E+12,Board Game Model 267,5,"Entertainment, Siblings, Seniors (50+)",383,Premium quality Board Game ideal for Siblings and suitable for Seniors (50+).,https://picsum.photos/seed/optgift167/400/400,eBay,https://www.ebay.com/itm/board-game-model-267-1435
1.05E+13,Body Lotion Model 1036,4.3,"Beauty, Colleagues, Adults (20-50)",189,Premium quality Body Lotion ideal for Colleagues and suitable for Adults (20-50).,https://picsum.photos/seed/optgift936/400/400,Snapdeal,https://www.snapdeal.com/product/body-lotion-model-1036-9488
8.41E+12,Body Lotion Model 154,4.8,"Beauty, Siblings, Kids (0-12)",312,Premium quality Body Lotion ideal for Siblings and suitable for Kids (0-12).,https://picsum.photos/seed/optgift54/400/400,Ajio,https://www.ajio.com/body-lotion-model-154-4675
7.25E+12,Bubble Heart Shaped Necklace,4.4,"Jewelry, Trendy, Minimalist, For Her",549,"A chic and modern ""bubble"" style heart pendant on a delicate gold or silver chain.",https://cdn.shopify.com/s/files/1/0597/1663/2661/files/il_794xN_1_.6411412846_rodp.jpg?v=1764326210,Meevyy,https://meevyy.com/products/bubble-heart-shaped-necklace
7.24E+12,Bum Bum Jet Set ,4.8,"Body Care, Travel, Fragrance, Beauty",3552,Iconic Brazilian bum bum cream and mist set.,https://picsum.photos/seed/Beauty1/400/400,Nykaa,https://www.nykaa.com/search?q=Bum+Bum+Jet+Set+#2
7.82E+12,Cocktails of the Movies ,4.6,"Mixology, Film, Party, Entertainment",21,Iconic drinks from Hollywood films.,https://picsum.photos/seed/Entertainment2/400/400,Walmart,https://www.walmart.com/search?q=Cocktails+of+the+Movies+#3
1.05E+13,Book Model 1067,5,"Books, Siblings, Kids (0-12)",160,Premium quality Cookbook ideal for Siblings and suitable for Kids (0-12).,https://picsum.photos/seed/optgift967/400/400,eBay,https://www.ebay.com/itm/cookbook-model-1067-9887
1.06E+13,Book Model 1076,4.5,"Books, Friends, Seniors (50+)",419,Premium quality Cookbook ideal for Friends and suitable for Seniors (50+).,https://picsum.photos/seed/optgift976/400/400,Amazon,https://www.amazon.com/dp/cookbook-model-1076-6735
7.25E+12,Customize Infinite Name Ring,4.7,"Jewelry, Infinity, Custom, Romantic",1199,A symbolic infinity ring crafted with the names of you and your loved one.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/InfiniteKaran2_1.jpg?v=1764326504,Meevyy,https://meevyy.com/products/customize-infinite-name-ring
7.19E+12,Customized Photo Frame on Wood with Calendar 🪵,4.9,"Decor, Date, Anniversary, Wooden",849,A unique wooden frame that highlights a specific special date on a calendar layout.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/upto50_2.jpg?v=1757762820,Meevyy,https://meevyy.com/products/customized-photo-frame-on-wood-with-calendar
7.25E+12,Diamond Heart And Crown Name Necklace,4.8,"Jewelry, Personalized, Luxury, For Her",1899,A regal pendant featuring a diamond-studded crown and heart customized with your name.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/Skype_Picture_2024_11_06T12_27_01_490Z_1_1.jpg?v=1764327668,Meevyy,https://meevyy.com/products/diamond-heart-and-crown-name-necklace
1.04E+13,Digital Photo Frame Model 1003,4.6,"Gadgets, Colleagues, Kids (0-12)",383,Premium quality Digital Photo Frame ideal for Colleagues and suitable for Kids (0-12).,https://picsum.photos/seed/optgift903/400/400,Ajio,https://www.ajio.com/digital-photo-frame-model-1003-4880
1.05E+13,Digital Photo Frame Model 1057,4.9,"Gadgets, Friends, Adults (20-50)",483,Premium quality Digital Photo Frame ideal for Friends and suitable for Adults (20-50).,https://picsum.photos/seed/optgift957/400/400,Apple,https://www.apple.com/shop/digital-photo-frame-model-1057-6251
7.17E+12,Double Heart Wooden Engraving,4.8,"Anniversary, Decor, Love, Wood",649,Two interlocking hearts engraved on a solid block of premium wood.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/Dubul_Heart_with_Wooden_Frame_1200x1200_41fc3693-d1e1-464d-800d-2566dd3a0dda.webp?v=1754986200,Meevyy,https://meevyy.com/products/double-heart-wooden-engraving
7.17E+12,Drive Safe Keychain,4.8,"Travel, Safety, Stainless Steel, Gift",299,A durable and engraved keychain reminding your loved one to drive carefully.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/600x600_Wooden_Key_Drive_saf_key_f8729a53-0fc8-48e3-b181-63e4e396c426_1.png?v=1754988873,Meevyy,https://meevyy.com/products/drive-safe-keychain
1.04E+13,Dumbbell Set Model 1008,4.6,"Sports, Parents, Adults (20-50)",238,Premium quality Dumbbell Set ideal for Parents and suitable for Adults (20-50).,https://picsum.photos/seed/optgift908/400/400,Myntra,https://www.myntra.com/dumbbell-set-model-1008-4074
9.89E+12,Dumbbell Set Model 792,4.7,"Sports, Kids, Kids (0-12)",47,Premium quality Dumbbell Set ideal for Kids and suitable for Kids (0-12).,https://picsum.photos/seed/optgift692/400/400,Snapdeal,https://www.snapdeal.com/product/dumbbell-set-model-792-5927
9.95E+12,Dumbbell Set Model 819,4.2,"Sports, Spouse, Teens (13-19)",379,Premium quality Dumbbell Set ideal for Spouse and suitable for Teens (13-19).,https://picsum.photos/seed/optgift719/400/400,Ajio,https://www.ajio.com/dumbbell-set-model-819-2081
9.61E+12,Duvet Cover Model 673,4.6,"Home, Siblings, Adults (20-50)",321,Premium quality Duvet Cover ideal for Siblings and suitable for Adults (20-50).,https://picsum.photos/seed/optgift573/400/400,Amazon,https://www.amazon.com/dp/duvet-cover-model-673-6890
9.72E+12,Duvet Cover Model 718,5,"Home, Friends, Teens (13-19)",484,Premium quality Duvet Cover ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift618/400/400,Ajio,https://www.ajio.com/duvet-cover-model-718-8944
1.03E+13,Duvet Cover Model 988,4.6,"Home, Colleagues, Adults (20-50)",231,Premium quality Duvet Cover ideal for Colleagues and suitable for Adults (20-50).,https://picsum.photos/seed/optgift888/400/400,Walmart,https://www.walmart.com/ip/duvet-cover-model-988-7820
1.04E+13,Electric Toothbrush Model 1010,4.9,"Personal Care, Colleagues, Kids (0-12)",257,Premium quality Electric Toothbrush ideal for Colleagues and suitable for Kids (0-12).,https://picsum.photos/seed/optgift910/400/400,Wayfair,https://www.wayfair.com/electric-toothbrush-model-1010-7667
1.05E+13,Electric Toothbrush Model 1073,4.8,"Personal Care, Colleagues, Seniors (50+)",472,Premium quality Electric Toothbrush ideal for Colleagues and suitable for Seniors (50+).,https://picsum.photos/seed/optgift973/400/400,IKEA,https://www.ikea.com/us/en/p/electric-toothbrush-model-1073-2132
8.30E+12,Electric Toothbrush Model 110,5,"Personal Care, Siblings, Teens (13-19)",143,Premium quality Electric Toothbrush ideal for Siblings and suitable for Teens (13-19).,https://picsum.photos/seed/optgift10/400/400,IKEA,https://www.ikea.com/us/en/p/electric-toothbrush-model-110-2766
7.46E+12,Electric Toothbrush Pro ,4.8,"Oral Care, Tech, Dental, Personal Care",114,Smart toothbrush with pressure sensor.,https://picsum.photos/seed/PersonalCare48/400/400,Best Buy,https://www.bestbuy.com/search?q=Electric+Toothbrush+Pro+#49
1.04E+13,Ergonomic Chair Model 1015,4.3,"Home, Friends, Teens (13-19)",289,Premium quality Ergonomic Chair ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift915/400/400,Apple,https://www.apple.com/shop/ergonomic-chair-model-1015-1791
1.01E+13,Ergonomic Chair Model 889,4.6,"Home, Kids, Adults (20-50)",159,Premium quality Ergonomic Chair ideal for Kids and suitable for Adults (20-50).,https://picsum.photos/seed/optgift789/400/400,Newegg,https://www.newegg.com/p/ergonomic-chair-model-889-2372
1.04E+13,Espresso Machine Model 1024,4.4,"Home, Spouse, Adults (20-50)",36,Premium quality Espresso Machine ideal for Spouse and suitable for Adults (20-50).,https://picsum.photos/seed/optgift924/400/400,Amazon,https://www.amazon.com/dp/espresso-machine-model-1024-2627
1.03E+13,Espresso Machine Model 952,4,"Home, Siblings, Teens (13-19)",203,Premium quality Espresso Machine ideal for Siblings and suitable for Teens (13-19).,https://picsum.photos/seed/optgift852/400/400,IKEA,https://www.ikea.com/us/en/p/espresso-machine-model-952-9568
1.03E+13,Espresso Machine Model 979,4.8,"Home, Kids, Adults (20-50)",318,Premium quality Espresso Machine ideal for Kids and suitable for Adults (20-50).,https://picsum.photos/seed/optgift879/400/400,Snapdeal,https://www.snapdeal.com/product/espresso-machine-model-979-5955
1.04E+13,Facial Mask Model 1000,4.7,"Beauty, Siblings, Seniors (50+)",141,Premium quality Facial Mask ideal for Siblings and suitable for Seniors (50+).,https://picsum.photos/seed/optgift900/400/400,Meesho,https://www.meesho.com/facial-mask-model-1000-9115
1.03E+13,Facial Mask Model 982,4.6,"Beauty, Colleagues, Kids (0-12)",386,Premium quality Facial Mask ideal for Colleagues and suitable for Kids (0-12).,https://picsum.photos/seed/optgift882/400/400,Meesho,https://www.meesho.com/facial-mask-model-982-9754
7.17E+12,Fathers Day Wooden Personalized Photo Frame Gift For Dear Daddy,4.9,"Dad, Gift, Wooden, Fathers Day",599,"A heartfelt ""Dear Daddy"" engraved wooden frame to celebrate the best father in the world.",https://cdn.shopify.com/s/files/1/0597/1663/2661/files/FathersdaySB7x4.jpg?v=1754986085,Meevyy,https://meevyy.com/products/fathers-day-wooden-personalized-photo-frame-gift-for-dear-daddy
9.58E+12,Glow Serum Model 658,4.5,"Beauty, Kids, Seniors (50+)",160,Premium quality Glow Serum ideal for Kids and suitable for Seniors (50+).,https://picsum.photos/seed/optgift558/400/400,Newegg,https://www.newegg.com/p/glow-serum-model-658-9817
9.89E+12,Glow Serum Model 793,4.4,"Beauty, Parents, Kids (0-12)",483,Premium quality Glow Serum ideal for Parents and suitable for Kids (0-12).,https://picsum.photos/seed/optgift693/400/400,Ajio,https://www.ajio.com/glow-serum-model-793-8052
7.24E+12,Glow Starter Kit ,4.6,"Skincare, Glow, Gift Set, Beauty",370,A mini kit for instant skin radiance.,https://picsum.photos/seed/Beauty0/400/400,Nykaa,https://www.nykaa.com/search?q=Glow+Starter+Kit+#1
7.35E+12,Glow Starter Kit ,4.6,"Skincare, Glow, Gift Set, Beauty",235,A mini kit for instant skin radiance.,https://picsum.photos/seed/Beauty49/400/400,Nykaa,https://www.nykaa.com/search?q=Glow+Starter+Kit+#50
1.04E+13,Hair Oil Model 1009,4.3,"Beauty, Kids, Seniors (50+)",318,Premium quality Hair Oil ideal for Kids and suitable for Seniors (50+).,https://picsum.photos/seed/optgift909/400/400,Newegg,https://www.newegg.com/p/hair-oil-model-1009-4001
9.98E+12,Hair Oil Model 829,4.5,"Beauty, Spouse, Teens (13-19)",315,Premium quality Hair Oil ideal for Spouse and suitable for Teens (13-19).,https://picsum.photos/seed/optgift729/400/400,Apple,https://www.apple.com/shop/hair-oil-model-829-3975
1.00E+13,Hair Oil Model 838,4.1,"Beauty, Siblings, Adults (20-50)",278,Premium quality Hair Oil ideal for Siblings and suitable for Adults (20-50).,https://picsum.photos/seed/optgift738/400/400,Best Buy,https://www.bestbuy.com/site/hair-oil-model-838-1522
1.01E+13,Headphones Model 885,5,"Electronics, Friends, Teens (13-19)",377,Premium quality Headphones ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift785/400/400,Best Buy,https://www.bestbuy.com/site/headphones-model-885-6938
1.03E+13,Headphones Model 948,4.8,"Electronics, Parents, Adults (20-50)",174,Premium quality Headphones ideal for Parents and suitable for Adults (20-50).,https://picsum.photos/seed/optgift848/400/400,Wayfair,https://www.wayfair.com/headphones-model-948-3252
1.03E+13,Headphones Model 975,4.8,"Electronics, Siblings, Adults (20-50)",220,Premium quality Headphones ideal for Siblings and suitable for Adults (20-50).,https://picsum.photos/seed/optgift875/400/400,Meesho,https://www.meesho.com/headphones-model-975-1012
1.04E+13,History Book Model 1004,4.5,"Books, Parents, Teens (13-19)",36,Premium quality History Book ideal for Parents and suitable for Teens (13-19).,https://picsum.photos/seed/optgift904/400/400,IKEA,https://www.ikea.com/us/en/p/history-book-model-1004-4008
1.04E+13,History Book Model 1031,4.8,"Books, Friends, Kids (0-12)",192,Premium quality History Book ideal for Friends and suitable for Kids (0-12).,https://picsum.photos/seed/optgift931/400/400,Myntra,https://www.myntra.com/history-book-model-1031-8635
1.01E+13,History Book Model 878,4.9,"Books, Siblings, Seniors (50+)",467,Premium quality History Book ideal for Siblings and suitable for Seniors (50+).,https://picsum.photos/seed/optgift778/400/400,Amazon,https://www.amazon.com/dp/history-book-model-878-5735
1.04E+13,Illustrated Fantasy Model 1013,4.1,"Books, Siblings, Kids (0-12)",492,Premium quality Illustrated Fantasy ideal for Siblings and suitable for Kids (0-12).,https://picsum.photos/seed/optgift913/400/400,eBay,https://www.ebay.com/itm/illustrated-fantasy-model-1013-6676
1.03E+13,Illustrated Fantasy Model 977,4.1,"Books, Colleagues, Adults (20-50)",400,Premium quality Illustrated Fantasy ideal for Colleagues and suitable for Adults (20-50).,https://picsum.photos/seed/optgift877/400/400,Best Buy,https://www.bestbuy.com/site/illustrated-fantasy-model-977-5878
7.25E+12,Instagram Viral Bracelet,4.5,"Trendy, Minimalist, Fashion, Gift",399,The minimalist aesthetic bracelet seen all over social media feeds.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/gg_1.jpg?v=1764328002,Meevyy,https://meevyy.com/products/instagram-viral-bracelet
7.47E+12,iPhone 16 Pro ,4.8,"Smartphone, Tech, iOS, Electronics",1000,The latest flagship with advanced camera.,https://picsum.photos/seed/Electronics2/400/400,Apple,https://www.apple.com/search?q=iPhone+16+Pro+#3
7.48E+12,iPhone 16 Pro ,4.8,"Smartphone, Tech, iOS, Electronics",1200,The latest flagship with advanced camera.,https://picsum.photos/seed/Electronics7/400/400,Apple,https://www.apple.com/search?q=iPhone+16+Pro+#8
7.58E+12,iPhone 16 Pro ,4.8,"Smartphone, Tech, iOS, Electronics",918,The latest flagship with advanced camera.,https://picsum.photos/seed/Electronics47/400/400,Apple,https://www.apple.com/search?q=iPhone+16+Pro+#48
7.47E+12,Kindle Paperwhite ,4.8,"Reading, Books, Waterproof, Electronics",132,E-reader with adjustable warm light.,https://picsum.photos/seed/Electronics1/400/400,Amazon,https://www.amazon.com/search?q=Kindle+Paperwhite+#2
8.05E+12,Kinfolk Coffee Table Book ,4.8,"Books, Decor, Aesthetic, Decor",45,Minimalist lifestyle and design guide.,https://picsum.photos/seed/Decor1/400/400,Amazon,https://www.amazon.com/search?q=Kinfolk+Coffee+Table+Book+#2
8.16E+12,Kinfolk Coffee Table Book ,4.8,"Books, Decor, Aesthetic, Decor",85,Minimalist lifestyle and design guide.,https://picsum.photos/seed/Decor46/400/400,Amazon,https://www.amazon.com/search?q=Kinfolk+Coffee+Table+Book+#47
8.16E+12,Kinfolk Garden Book ,4.8,"Books, Decor, Greenery, Decor",132,Beautifully shot garden inspirations.,https://picsum.photos/seed/Decor47/400/400,Amazon,https://www.amazon.com/search?q=Kinfolk+Garden+Book+#48
1.05E+13,Laptop Model 1038,4.4,"Electronics, Siblings, Adults (20-50)",297,Premium quality Laptop ideal for Siblings and suitable for Adults (20-50).,https://picsum.photos/seed/optgift938/400/400,eBay,https://www.ebay.com/itm/laptop-model-1038-3839
1.03E+13,Laptop Model 957,4.2,"Electronics, Kids, Seniors (50+)",388,Premium quality Laptop ideal for Kids and suitable for Seniors (50+).,https://picsum.photos/seed/optgift857/400/400,Meesho,https://www.meesho.com/laptop-model-957-6708
7.17E+12,Lawyer Gifts,4.5,"Professional, Office, Stationery, Custom",1299,Specialized gifts including scales of justice decor or engraved pens for legal pros.,https://cdn.shopify.com/s/files/1/0597/1663/2661/files/MrGoutamDas2400x2400_bc2d689a-cb2e-498c-b981-b544de6e664a.webp?v=1754985570,Meevyy,https://meevyy.com/products/lawyer-gifts
1.04E+13,Lip Balm Model 1018,5,"Beauty, Friends, Teens (13-19)",441,Premium quality Lip Balm ideal for Friends and suitable for Teens (13-19).,https://picsum.photos/seed/optgift918/400/400,Flipkart,https://www.flipkart.com/p/lip-balm-model-1018-5527
1.04E+13,Lip Balm Model 991,4.2,"Beauty, Spouse, Adults (20-50)",346,Premium quality Lip Balm ideal for Spouse and suitable for Adults (20-50).,https://picsum.photos/seed/optgift891/400/400,Newegg,https://www.newegg.com/p/lip-balm-model-991-9275
7.24E+12,Lip Care Set 2.0 ,4.9,"Lip Mask, Hydration, K-Beauty, Beauty",253,Berry mini lip mask and vanilla balm duo.,https://picsum.photos/seed/Beauty4/400/400,Ajio,https://www.ajio.com/search?q=Lip+Care+Set+2.0+#5
